0.1	0.05	0.047	0.2	0.3	0.0	0.1
0.5	0.05	0.047	0.2	0.3	0.0	0.1
1.0	0.05	0.047	0.2	0.3	0.0	0.1
0.1	0.11	0.047	0.2	0.3	0.0	0.1
0.5	0.11	0.047	0.2	0.3	0.0	0.1
1.0	0.11	0.047	0.2	0.3	0.0	0.1
0.1	0.22	0.047	0.2	0.3	0.0	0.1
0.5	0.22	0.047	0.2	0.3	0.0	0.1
1.0	0.22	0.047	0.2	0.3	0.0	0.1
0.1	0.05	0.47	0.4	0.5	0.1	0.2
0.5	0.05	0.47	0.4	0.5	0.1	0.2
1.0	0.05	0.47	0.4	0.5	0.1	0.2
0.1	0.11	0.47	0.4	0.5	0.1	0.2
0.5	0.11	0.47	0.4	0.5	0.1	0.2
1.0	0.11	0.47	0.4	0.5	0.1	0.2
0.1	0.22	0.47	0.4	0.5	0.1	0.2
0.5	0.22	0.47	0.4	0.5	0.1	0.2
1.0	0.22	0.47	0.4	0.5	0.1	0.2
0.1	0.05	1.0	0.6	0.7	0.5	0.6
0.5	0.05	1.0	0.6	0.7	0.5	0.6
1.0	0.05	1.0	0.6	0.7	0.5	0.6
0.1	0.11	1.0	0.6	0.7	0.5	0.6
0.5	0.11	1.0	0.6	0.7	0.5	0.6
1.0	0.11	1.0	0.6	0.7	0.5	0.6
0.1	0.22	1.0	0.6	0.7	0.5	0.6
0.5	0.22	1.0	0.6	0.7	0.5	0.6
1.0	0.22	1.0	0.6	0.7	0.5	0.6
0.25	0.22	1.0	0.6	0.7	0.5	0.6
0.05	0.22	1.0	0.6	0.7	0.5	0.6
0.1	0.33	1.0	0.8	0.9	0.7	0.8
0.1	0.44	1.0	0.8	0.9	0.7	0.8
0.1	0.55	1.0	0.8	0.9	0.7	0.8
0.1	0.66	1.0	0.8	0.9	0.8	0.9
0.1	0.77	1.0	0.8	0.9	0.8	0.9
0.1	0.88	1.0	0.8	0.9	0.9	1.0
0.1	1.0	1.0	0.8	0.9	1.0	1.0
0.2	0.3	0.6	0.5	0.6	0.3	0.4
0.3	0.4	0.7	0.5	0.6	0.4	0.5
0.4	0.5	0.8	0.5	0.6	0.5	0.6
0.6	0.7	0.9	0.7	0.8	0.6	0.7
0.7	0.8	1.0	0.7	0.8	0.7	0.8
0.8	0.9	1.0	0.7	0.8	0.8	0.9
0.9	1.0	1.0	0.7	0.8	0.9	1.0 
