0.15	0.06	0.057	0.25	0.35	0.0	0.1
0.45	0.06	0.057	0.25	0.35	0.0	0.1
0.95	0.06	0.057	0.25	0.35	0.0	0.1
0.15	0.12	0.057	0.25	0.35	0.0	0.1
0.45	0.12	0.057	0.25	0.35	0.0	0.1
0.95	0.12	0.057	0.25	0.35	0.0	0.1
0.15	0.23	0.057	0.25	0.35	0.0	0.1
0.45	0.23	0.057	0.25	0.35	0.0	0.1
0.95	0.23	0.057	0.25	0.35	0.0	0.1
0.15	0.06	0.48	0.45	0.55	0.1	0.2
0.45	0.06	0.48	0.45	0.55	0.1	0.2
0.95	0.06	0.48	0.45	0.55	0.1	0.2
0.15	0.12	0.48	0.45	0.55	0.1	0.2
0.45	0.12	0.48	0.45	0.55	0.1	0.2
0.95	0.12	0.48	0.45	0.55	0.1	0.2
0.15	0.23	0.48	0.45	0.55	0.1	0.2
0.45	0.23	0.48	0.45	0.55	0.1	0.2
0.95	0.23	0.48	0.45	0.55	0.1	0.2
0.15	0.06	0.95	0.65	0.75	0.5	0.6
0.45	0.06	0.95	0.65	0.75	0.5	0.6
0.95	0.06	0.95	0.65	0.75	0.5	0.6
0.15	0.12	0.95	0.65	0.75	0.5	0.6
0.45	0.12	0.95	0.65	0.75	0.5	0.6
0.95	0.12	0.95	0.65	0.75	0.5	0.6
0.15	0.23	0.95	0.65	0.75	0.5	0.6
0.45	0.23	0.95	0.65	0.75	0.5	0.6
0.95	0.23	0.95	0.65	0.75	0.5	0.6
0.3	0.23	0.95	0.65	0.75	0.5	0.6
0.08	0.23	0.95	0.65	0.75	0.5	0.6
0.15	0.34	0.95	0.85	0.95	0.7	0.8
0.15	0.45	0.95	0.85	0.95	0.7	0.8
0.15	0.56	0.95	0.85	0.95	0.7	0.8
0.15	0.67	0.95	0.85	0.95	0.8	0.9
0.15	0.78	0.95	0.85	0.95	0.8	0.9
0.15	0.89	0.95	0.85	0.95	0.9	1.0
0.15	0.95	0.95	0.85	0.95	1.0	1.0
0.25	0.35	0.65	0.55	0.65	0.3	0.4
0.35	0.45	0.75	0.55	0.65	0.4	0.5
0.45	0.55	0.85	0.55	0.65	0.5	0.6
0.65	0.75	0.95	0.75	0.85	0.6	0.7
0.75	0.85	0.95	0.75	0.85	0.7	0.8
0.85	0.95	0.95	0.75	0.85	0.8	0.9
0.95	0.95	0.95	0.75	0.85	0.9	1.0 
