0.15	0.062222222	0.057	0.0
0.45	0.062222222	0.057	0.0
0.95	0.062222222	0.057	0.0
0.15	0.121111111	0.057	0.0
0.45	0.121111111	0.057	0.0
0.95	0.121111111	0.057	0.0
0.15	0.232222222	0.057	0.0
0.45	0.232222222	0.057	0.0
0.95	0.232222222	0.057	0.0
0.15	0.062222222	0.48	0.1
0.45	0.062222222	0.48	0.1
0.95	0.062222222	0.48	0.1
0.15	0.121111111	0.48	0.1
0.45	0.121111111	0.48	0.1
0.95	0.121111111	0.48	0.1
0.15	0.232222222	0.48	0.1
0.45	0.232222222	0.48	0.1
0.95	0.232222222	0.48	0.1
0.15	0.062222222	0.95	0.5
0.45	0.062222222	0.95	0.5
0.95	0.062222222	0.95	0.5
0.15	0.121111111	0.95	0.5
0.45	0.121111111	0.95	0.5
0.95	0.121111111	0.95	0.5
0.15	0.232222222	0.95	0.5
0.45	0.232222222	0.95	0.5
0.95	0.232222222	0.95	0.5
0.3	0.232222222	0.95	0.5
0.08	0.232222222	0.95	0.5
0.15	0.343333333	0.95	0.7
0.15	0.454444444	0.95	0.7
0.15	0.565555556	0.95	0.7
0.15	0.676666667	0.95	0.8
0.15	0.787777778	0.95	0.8
0.15	0.898888889	0.95	0.9
0.15	0.95	0.95	1.0
0.25	0.35	0.65	0.3
0.35	0.45	0.75	0.4
0.45	0.55	0.85	0.5
0.65	0.75	0.95	0.6
0.75	0.85	0.95	0.7
0.85	0.95	0.95	0.8
0.95	0.95	0.95	0.9 
