0.1667	0.7727
0.1667	0.8182
0.1667	0.8636
0.1667	0.9091
0.1667	0.9545
0.1667	1
0.3333	0.7727
0.3333	0.8182
0.3333	0.8636
0.3333	0.9091
0.3333	0.9545
0.3333	1
0.5	0.7727
0.5	0.8182
0.5	0.8636
0.5	0.9091
0.5	0.9545
0.5	1
0.6667	0.7727
0.6667	0.8182
0.6667	0.8636
0.6667	0.9091
0.6667	0.9545
0.6667	1
0.8333	0.7727
0.8333	0.8182
0.8333	0.8636
0.8333	0.9091
0.8333	0.9545
0.8333	1
1	0.7727
1	0.8182
1	0.8636
1	0.9091
1	0.9545
1	1
0.5	1
0.6667	0.7727
0.6667	0.8182
0.6667	0.8636
0.6667	0.9091
0.6667	0.9545
0.6667	1
0.8333	0.7727
0.8333	0.8182
0.8333	0.8636
0.8333	0.9091
0.8333	0.9545
0.8333	1
1	0.7727
1	0.8182
1	0.8636
1	0.9091
1	0.9545
1	1
0.3333	0.7727
0.3333	0.8182
0.3333	0.8636
0.3333	0.9091
0.3333	0.9545
0.6667	0.7727
0.6667	0.8182
0.6667	0.8636
0.6667	0.9091
0.6667	0.9545
0.6667	1
0.7727	0.1667
0.8182	0.1667
0.8636	0.1667
0.9091	0.1667
0.9545	0.1667
1	0.1667
0.7727	0.3333
0.8182	0.3333
0.8636	0.3333
0.9091	0.3333
0.9545	0.3333
1	0.3333
0.7727	0.5
0.8182	0.5
0.8636	0.5
0.9091	0.5
0.9545	0.5
1	0.5
0.7727	0.6667
0.8182	0.6667
0.8636	0.6667
0.9091	0.6667
0.9545	0.6667
1	0.6667
0.7727	0.8333
0.8182	0.8333
0.8636	0.8333
0.9091	0.8333
0.9545	0.8333
1	0.8333
0.7727	1
0.8182	1
0.8636	1
0.9091	1
0.9545	1
1	1
0.1667	0.9545
0.1667	1
0.1667	0.7727
0.1667	0.8182
0.3333	0.8636
0.3333	0.9091
0.8636	0.8333
0.9091	1
0.9545	1
1	1
0.7727	0.5
0.8182	0.5
0.8636	0.6667
0.9545	0.6667
1	0.6667
0.7727	0.8333
0.8182	0.8333
0.8636	0.8333
0.9091	0.8333
0.9545	0.8333
1	0.8333
0.7727	1
0.8182	1
0.8636	1
0.9091	1
0.9545	1
1	1
0.1667	0.9545
0.1667	1
0.1667	0.7727
0.1667	0.8182
0.3333	0.8636
0.3333	0.9091
0.8636	0.8333
0.9091	1
0.9545	1
1	1
0.7727	0.5
0.1667	0.9091
0.1667	0.9545
0.1667	1
0.1667	0.7727
0.1667	0.8182
0.1667	0.8636
0.3333	0.9091
0.3333	0.9545
0.3333	1
0.3333	0.7727
0.3333	0.8182
0.3333	0.8636
0.1667	0.9091
0.1667	0.9545
0.1667	1
0.1667	0.7727
0.1667	0.8182
0.1667	0.8636
0.3333	0.9091
0.3333	0.9545
0.3333	1
0.8333	0.7727
0.8333	0.8182
1	0.8636
1	0.9091
1	0.9545
1	1
1	0.7727
1	0.8182
0.5	0.8636
0.7727	0.8333
0.8182	0.8333
0.8636	1
0.9091	1
0.9545	1
1	1
0.7727	1
0.8182	1
0.8636	0.5
0.8182	0.1667
0.8636	0.1667
0.9091	0.1667
0.9545	0.1667
1	0.1667
0.5	0.7727
0.5	0.8182
0.5	0.8636
0.5	0.9091
0.5	0.9545
0.5	1
0.8333	0.7727
0.8333	0.8182
0.8333	0.8636
0.8333	0.9091
0.8333	0.9545
0.8333	1
0.7727	1
0.8182	1
0.8636	1
0.9091	1
0.9545	1
1	1
0.3333	0.7727
0.3333	0.8182
0.3333	0.8636
0.3333	0.9091
0.3333	0.9545
0.8182	0.5
0.8636	0.5
0.9091	0.5
0.9545	0.5
1	0.5
0.7727	0.5
0.8182	0.6667
0.8636	0.6667
0.9091	0.6667
0.9545	0.6667
1	0.6667
0.7727	0.6667
0.8182	0.8333
0.8636	0.8333
0.9091	0.8333
0.9545	0.8333
1	0.8333
0.7727	0.8333
0.8182	1
0.8636	1
0.9091	0.3333
0.9545	0.3333
0.5	0.8182
0.5	0.8636
0.5	0.9091
0.5	0.9545
0.5	1
0.5	0.7727
0.6667	0.8182
0.6667	0.8636
0.6667	0.9091
0.6667	0.9545
0.6667	1
0.6667	0.7727
0.8333	0.8182
0.8333	0.8636
0.8333	0.9091
0.8333	0.9545
0.8333	1
0.8333	0.7727
1	0.8182
1	0.8636
0.3333	0.9091
0.3333	0.9545
0.1667	0.8182
0.1667	0.8636
0.1667	0.9091
0.1667	0.9545
0.1667	1
0.3333	0.7727
0.3333	0.8182
0.3333	0.8636
0.3333	0.9091
0.3333	0.9545
0.3333	1
0.7727	0.1667
0.8182	0.1667
0.8636	0.1667
0.9091	0.1667
0.9545	0.1667
1	0.1667
0.6667	0.7727
0.6667	0.8182
0.6667	0.8636
0.6667	0.9091
0.6667	0.9545
0.6667	1
0.8333	0.7727
0.8333	0.8182
0.8636	0.8333
0.9091	0.8333
0.9545	0.8333
1	0.8333
0.7727	1
0.8182	1
0.6667	1
0.8333	0.7727
0.8333	0.8182
1	0.3333
0.7727	0.5
0.8182	0.5
0.8636	0.5
0.9091	0.5
1	0.8636
1	0.9091
1	0.9545
1	1
1	0.7727
1	0.8182
0.5	0.8636
0.1667	0.7727
0.1667	0.8182
0.1667	0.8636
