0.1667	0.7727	0.7942
0.1667	0.8182	0.8399
0.1667	0.8636	0.7067
0.1667	0.9091	0.8356
0.1667	0.9545	0.7647
0.1667	1.0000	0.8261
0.3333	0.7727	0.9994
0.3333	0.8182	1.0000
0.3333	0.8636	0.8823
0.3333	0.9091	0.8946
0.3333	0.9545	0.9374
0.3333	1.0000	0.8208
0.5000	0.7727	0.9445
0.5000	0.8182	0.9003
0.5000	0.8636	0.8630
0.5000	0.9091	0.8668
0.5000	0.9545	0.8928
0.5000	1.0000	0.8952
0.6667	0.7727	0.8547
0.6667	0.8182	0.9571
0.6667	0.8636	0.9994
0.6667	0.9091	0.9745
0.6667	0.9545	0.9403
0.6667	1.0000	0.9708
0.8333	0.7727	0.9431
0.8333	0.8182	0.9813
0.8333	0.8636	0.9579
0.8333	0.9091	0.9692
0.8333	0.9545	0.9621
0.8333	1.0000	0.9943
1.0000	0.7727	0.9356
1.0000	0.8182	0.9641
1.0000	0.8636	0.8937
1.0000	0.9091	0.9534
1.0000	0.9545	0.9301
1.0000	1.0000	0.9141
